Currency,Date,Closing Price (USD),24h Open (USD),24h High (USD),24h Low (USD)
BTC,06/02/2020,9516.135443,10268.23188,10292.7031,9298.92095
BTC,06/03/2020,9667.060754,9516.379828,9680.206444,9406.971187
BTC,06/04/2020,9811.367095,9667.085402,9875.662127,9472.251048
BTC,06/05/2020,9659.661298,9811.829378,9860.231447,9619.617459
BTC,06/06/2020,9677.050995,9659.053118,9736.271128,9542.773398
BTC,06/07/2020,9737.458559,9677.050684,9804.446487,9392.842926
BTC,06/08/2020,9791.9279,9737.457447,9803.573516,9652.310114
BTC,06/09/2020,9786.14202,9790.073884,9870.519387,9610.024354
BTC,06/10/2020,9874.967048,9787.914131,9979.715526,9711.85958
BTC,06/11/2020,9260.832641,9875.014214,9962.180331,9108.473046
BTC,06/12/2020,9464.228097,9261.481444,9558.770602,9238.389181
BTC,06/13/2020,9458.659754,9464.086079,9492.899884,9359.847047
BTC,06/14/2020,9351.953728,9458.659753,9481.697453,9250.032408
BTC,06/15/2020,9441.768996,9351.605477,9498.609999,8910.198265
BTC,06/16/2020,9510.660637,9442.016988,9595.222935,9380.74608
BTC,06/17/2020,9457.627074,9510.641266,9557.46842,9240.646056
BTC,06/18/2020,9398.642094,9457.464837,9480.374487,9276.427094
BTC,06/19/2020,9279.760765,9398.685603,9427.177661,9236.657272
BTC,06/20/2020,9353.078196,9278.469146,9391.025094,9178.382279
BTC,06/21/2020,9289.104491,9353.078187,9412.648505,9278.923226
BTC,06/22/2020,9680.947128,9288.60316,9775.102839,9272.796157
BTC,06/23/2020,9609.680246,9680.947129,9720.765241,9576.910848
BTC,06/24/2020,9311.136318,9609.680246,9678.98608,9206.958895
BTC,06/25/2020,9252.633372,9310.989646,9333.346057,9002.374468
BTC,06/26/2020,9171.732086,9252.684713,9292.245367,9046.231365
BTC,06/27/2020,9022.153768,9171.554012,9192.768265,8843.317702
BTC,06/28/2020,9101.850057,9022.012126,9190.117478,8949.755974
BTC,06/29/2020,9188.061375,9101.877703,9233.529361,9032.435483
BTC,06/30/2020,9148.444859,9188.037401,9201.648794,9067.19084
BTC,07/01/2020,9236.31677,9141.34826,9300.998983,9096.778646
BTC,07/02/2020,9097.797366,9240.169628,9267.123022,8957.632801
BTC,07/03/2020,9094.324561,9097.683628,9132.985825,9065.858012
BTC,07/04/2020,9124.653534,9067.937487,9190.818987,9051.870726
BTC,07/05/2020,9055.464483,9141.07507,9149.765584,8919.762981
BTC,07/06/2020,9278.805637,9078.614127,9356.327421,9063.727627
BTC,07/07/2020,9244.415815,9344.987626,9374.083533,9216.518048
BTC,07/08/2020,9471.759973,9262.805251,9472.080067,9239.543297
BTC,07/09/2020,9236.143254,9444.728112,9449.911243,9173.165154
BTC,07/10/2020,9243.175259,9239.473351,9260.349785,9133.962338
BTC,07/11/2020,9229.859755,9289.580029,9304.962551,9190.032623
BTC,07/12/2020,9286.737042,9243.766253,9349.001062,9170.73536
BTC,07/13/2020,9238.993755,9310.395069,9339.806986,9206.291978
BTC,07/14/2020,9260.47098,9241.763724,9279.093222,9125.214524
BTC,07/15/2020,9211.026433,9261.511425,9275.45244,9167.649721
BTC,07/16/2020,9133.77783,9192.623666,9219.426492,9048.084922
BTC,07/17/2020,9160.410591,9132.454747,9186.96179,9085.977619
BTC,07/18/2020,9176.68639,9159.369281,9212.520944,9130.022301
BTC,07/19/2020,9190.271534,9182.914419,9197.726524,9117.058699
BTC,07/20/2020,9172.588333,9213.358566,9223.07652,9152.280649
BTC,07/21/2020,9395.064446,9166.298231,9445.579319,9159.972579
BTC,07/22/2020,9530.790885,9399.730238,9551.996412,9313.812944
